AM,Band gap energy (eV),Reported band gap energy (eV),Simulated J_sc (mA/cm^2),Reported J_sc (mA/cm^2)
1.0,1.5673588854641454,N/A,25.12159534875526,N/A
1.0,1.6077719316180819,N/A,26.94004069914981,N/A
1.0,1.5909474150693015,N/A,26.22291354038193,N/A
1.0,1.562633174923761,N/A,25.874677639021535,N/A
1.0,1.6072347748218614,N/A,27.268659404636594,N/A
1.0,1.613402684810717,N/A,27.4850102055933,N/A
1.0,1.5927168459132024,N/A,20.94689356500924,N/A
1.0,1.5217568195011326,N/A,27.8641025843635,N/A
1.0,1.5850854577767328,N/A,27.523578786819705,N/A
1.0,1.6028827426501127,N/A,17.18447480231962,N/A
1.0,1.6344368587974094,N/A,23.99631137584104,N/A
1.0,1.5976626573791437,N/A,26.796728972553534,N/A
1.0,1.63424061555754,N/A,26.537833040348737,N/A
1.25,1.5673588854641454,N/A,27.4850102055933,N/A
1.25,1.6077719316180819,N/A,20.94689356500924,N/A
1.25,1.5909474150693015,N/A,27.8641025843635,N/A
1.25,1.562633174923761,N/A,27.523578786819705,N/A
1.25,1.6072347748218614,N/A,17.18447480231962,N/A
1.25,1.613402684810717,N/A,23.99631137584104,N/A
1.25,1.5927168459132024,N/A,26.796728972553534,N/A
1.25,1.5217568195011326,N/A,26.537833040348737,N/A
1.25,1.5850854577767328,N/A,21.484361004370506,N/A
1.25,1.6028827426501127,N/A,22.755251401391686,N/A
1.25,1.6344368587974094,N/A,22.708126517614968,N/A
1.25,1.5976626573791437,N/A,22.248083226781972,N/A
1.25,1.63424061555754,N/A,24.008945190199636,N/A
1.5,1.5673588854641454,1.59,23.99631137584104,22.63
1.5,1.6077719316180819,1.6,26.796728972553534,21.0
1.5,1.5909474150693015,1.6,26.537833040348737,22.4
1.5,1.562633174923761,1.6,21.484361004370506,22.5
1.5,1.6072347748218614,nan,22.755251401391686,23.2
1.5,1.613402684810717,1.55,22.708126517614968,16.5
1.5,1.5927168459132024,1.6,22.248083226781972,20.15
1.5,1.5217568195011326,1.6,24.008945190199636,23.46
1.5,1.5850854577767328,1.6,23.556381378056976,24.12
1.5,1.6028827426501127,1.55,17.964240807548908,5.6
1.5,1.6344368587974094,1.55,24.048933218412923,20.9
1.5,1.5976626573791437,1.6,23.654496674063914,22.8
1.5,1.63424061555754,1.6,14.822108249275828,21.25
1.75,1.5673588854641454,N/A,22.708126517614968,N/A
1.75,1.6077719316180819,N/A,22.248083226781972,N/A
1.75,1.5909474150693015,N/A,24.008945190199636,N/A
1.75,1.562633174923761,N/A,23.556381378056976,N/A
1.75,1.6072347748218614,N/A,17.964240807548908,N/A
1.75,1.613402684810717,N/A,24.048933218412923,N/A
1.75,1.5927168459132024,N/A,23.654496674063914,N/A
1.75,1.5217568195011326,N/A,14.822108249275828,N/A
1.75,1.5850854577767328,N/A,20.807554211883158,N/A
1.75,1.6028827426501127,N/A,22.95565058550121,N/A
1.75,1.6344368587974094,N/A,22.859092584066858,N/A
1.75,1.5976626573791437,N/A,19.93202446992432,N/A
1.75,1.63424061555754,N/A,21.049780849689387,N/A
2.0,1.5673588854641454,N/A,24.048933218412923,N/A
2.0,1.6077719316180819,N/A,23.654496674063914,N/A
2.0,1.5909474150693015,N/A,14.822108249275828,N/A
2.0,1.562633174923761,N/A,20.807554211883158,N/A
2.0,1.6072347748218614,N/A,22.95565058550121,N/A
2.0,1.613402684810717,N/A,22.859092584066858,N/A
2.0,1.5927168459132024,N/A,19.93202446992432,N/A
2.0,1.5217568195011326,N/A,21.049780849689387,N/A
2.0,1.5850854577767328,N/A,21.10604370274587,N/A
2.0,1.6028827426501127,N/A,20.673546508712086,N/A
2.0,1.6344368587974094,N/A,22.417273268310147,N/A
2.0,1.5976626573791437,N/A,21.858138160428933,N/A
2.0,1.63424061555754,N/A,16.65836087424414,N/A
