,AM,mean of diffs
0,AM0 - AM1.25,0.0038+/-0.0006
1,AM1.25 - AM1.5,0.00190+/-0.00017
2,AM1.5 - AM2.0,0.00216+/-0.00015
3,AM1.75 - AM2.5,0.00213+/-0.00014
