,AM,mean of diffs
0,AM0 - AM1.25,0.00386+/-0.00030
1,AM1.25 - AM1.5,0.00190+/-0.00008
2,AM1.5 - AM2.0,0.00216+/-0.00007
3,AM1.75 - AM2.5,0.00212+/-0.00006
