,AM,mean of diffs
0,AM0 - AM1.25,0.0047+/-0.0004
1,AM1.25 - AM1.5,0.00217+/-0.00007
2,AM1.5 - AM2.0,0.00241+/-0.00006
3,AM1.75 - AM2.5,0.00236+/-0.00005
