,AM,mean of diffs
0,AM0 - AM1.25,0.00387+/-0.00023
1,AM1.25 - AM1.5,0.00192+/-0.00005
2,AM1.5 - AM2.0,0.00217+/-0.00005
3,AM1.75 - AM2.5,0.00213+/-0.00004
