Ref_DOI_number,Perovskite_composition_short_form,Perovskite_composition_long_form,EQE_integrated_Jsc,JV_default_Voc,JV_default_Jsc,Perovskite_band_gap
10.1002/adma.202201315,N/A,N/A,17.47,1.21,21.08,1.64
10.1126/science.adf5872,N/A,N/A,20.11,1.28,20.28,1.68
10.1038/nenergy.2017.9,N/A,N/A,18.9,0.98,18.7,1.63
10.1038/s41586-023-06667-4,N/A,N/A,20.9,1.248,20.5,1.68
10.1021/acsenergylett.3c01347,N/A,N/A,16.98,1.214,17.8,1.77
