Wavelength (nm)	Spectral irradiance (W m-2 nm-1)	Cumulative photon flux (cm-2 s-1)
494	1.95125	5.78105E+16
495	2.0225	5.83141E+16
496	1.96625	5.88048E+16
497	1.96875	5.92971E+16
498	1.9275	5.978E+16
499	1.92	6.0262E+16
500	1.9125	6.07431E+16
501	1.8675	6.12138E+16
502	1.87125	6.16864E+16
503	1.92375	6.21732E+16
504	1.86	6.26448E+16
505	1.945	6.3139E+16
506	2.00875	6.36504E+16
507	1.94375	6.41462E+16
508	1.89875	6.46314E+16
509	1.95125	6.51311E+16
510	1.92125	6.56241E+16
511	1.9425	6.61234E+16
512	1.96875	6.66306E+16
513	1.87875	6.71155E+16
514	1.83375	6.75897E+16
515	1.87375	6.80751E+16
516	1.845	6.85541E+16
517	1.61125	6.89732E+16
518	1.725	6.94227E+16
519	1.7275	6.98738E+16
520	1.84125	7.03555E+16
521	1.875	7.0847E+16
522	1.89875	7.13456E+16
523	1.8325	7.18278E+16
524	1.92125	7.23343E+16
525	1.92375	7.28424E+16
526	1.84875	7.33316E+16
527	1.69875	7.3782E+16
528	1.86125	7.42764E+16
529	1.94875	7.47951E+16
530	1.91375	7.53054E+16
531	1.98125	7.58346E+16
532	1.93875	7.63536E+16
533	1.79125	7.68339E+16
534	1.85875	7.73332E+16
535	1.905	7.7846E+16
536	1.9425	7.83698E+16
537	1.85	7.88696E+16
538	1.8925	7.93819E+16
539	1.85875	7.98859E+16
540	1.79875	8.03746E+16
541	1.75875	8.08533E+16
542	1.865	8.13618E+16
543	1.86375	8.1871E+16
544	1.905	8.23923E+16
545	1.875	8.29064E+16
546	1.86375	8.34184E+16
547	1.87125	8.39334E+16
548	1.8425	8.44413E+16
549	1.87125	8.49582E+16
550	1.8625	8.54735E+16
551	1.865	8.59905E+16
552	1.8875	8.65147E+16
553	1.8525	8.70301E+16
554	1.87625	8.7553E+16
555	1.885	8.80794E+16
556	1.8575	8.8599E+16
557	1.82125	8.91093E+16
558	1.83375	8.96241E+16
559	1.775	9.01233E+16
560	1.79875	9.06301E+16
561	1.86625	9.11568E+16
562	1.82	9.16714E+16
563	1.8575	9.21975E+16
564	1.845	9.2721E+16
565	1.83625	9.3243E+16
566	1.7775	9.37492E+16
567	1.85375	9.4278E+16
568	1.8575	9.48088E+16
569	1.83375	9.53337E+16
570	1.82125	9.5856E+16
571	1.7825	9.6368E+16
572	1.8575	9.69026E+16
573	1.8775	9.74438E+16
574	1.86625	9.79827E+16
575	1.83375	9.85132E+16
576	1.82625	9.90424E+16
577	1.8475	9.95787E+16
578	1.81	1.00105E+17
579	1.81875	1.00635E+17
580	1.82875	1.01168E+17
581	1.8325	1.01704E+17
582	1.84875	1.02245E+17
583	1.8575	1.0279E+17
584	1.85	1.03334E+17
585	1.835	1.03874E+17
586	1.8025	1.04405E+17
587	1.83125	1.04946E+17
588	1.7975	1.05478E+17
589	1.6575	1.05969E+17
590	1.71875	1.06479E+17
591	1.79625	1.07013E+17
592	1.7925	1.07547E+17
593	1.79	1.08081E+17
594	1.78875	1.08616E+17
595	1.78375	1.0915E+17
596	1.79875	1.09689E+17
597	1.80375	1.10231E+17
598	1.77375	1.10764E+17
599	1.7625	1.11296E+17
600	1.765	1.11828E+17
601	1.74125	1.12355E+17
602	1.72625	1.12878E+17
603	1.75	1.13409E+17
604	1.775	1.13948E+17
605	1.77	1.14487E+17
606	1.76125	1.15024E+17
607	1.75875	1.15561E+17
608	1.74875	1.16096E+17
