Wavelength (nm)	Spectral irradiance (W m-2 nm-1)	Cumulative photon flux (cm-2 s-1)
1196	0.505625	3.59223E+17
1197	0.502	3.59526E+17
1198	0.491125	3.59822E+17
1199	0.4795	3.60111E+17
1200	0.4975	3.60411E+17
1201	0.505375	3.60717E+17
1202	0.5045	3.61022E+17
1203	0.49025	3.61319E+17
1204	0.489	3.61615E+17
1205	0.49975	3.61918E+17
1206	0.499625	3.62221E+17
1207	0.499375	3.62524E+17
1208	0.488375	3.62821E+17
1209	0.47225	3.63108E+17
1210	0.487125	3.63405E+17
1211	0.482125	3.63698E+17
1212	0.489625	3.63997E+17
1213	0.4915	3.64297E+17
1214	0.4895	3.64596E+17
1215	0.48975	3.64895E+17
1216	0.489	3.65194E+17
1217	0.487875	3.65493E+17
1218	0.48575	3.65791E+17
1219	0.48275	3.66087E+17
1220	0.483625	3.66384E+17
1221	0.482875	3.6668E+17
1222	0.480625	3.66976E+17
1223	0.477375	3.67269E+17
1224	0.480875	3.67566E+17
1225	0.4795	3.67861E+17
1226	0.478375	3.68156E+17
1227	0.47025	3.68446E+17
1228	0.473625	3.68739E+17
1229	0.476375	3.69034E+17
1230	0.475125	3.69328E+17
1231	0.4735	3.69621E+17
1232	0.469875	3.69912E+17
1233	0.4705	3.70204E+17
1234	0.468875	3.70495E+17
1235	0.46675	3.70785E+17
1236	0.4685	3.71076E+17
1237	0.468	3.71368E+17
1238	0.4665	3.71658E+17
1239	0.462375	3.71946E+17
1240	0.46075	3.72234E+17
1241	0.46325	3.72523E+17
1242	0.461625	3.72812E+17
1243	0.457375	3.73098E+17
1244	0.455375	3.73383E+17
1245	0.45625	3.73668E+17
1246	0.4585	3.73956E+17
1247	0.4585	3.74243E+17
1248	0.4605	3.74533E+17
1249	0.46	3.74822E+17
1250	0.45875	3.7511E+17
1251	0.455875	3.75397E+17
1252	0.45275	3.75682E+17
1253	0.45375	3.75968E+17
1254	0.453875	3.76255E+17
1255	0.453	3.76541E+17
1256	0.45175	3.76826E+17
1257	0.449625	3.7711E+17
1258	0.450375	3.77395E+17
1259	0.448625	3.7768E+17
1260	0.449625	3.77965E+17
1261	0.448375	3.78249E+17
1262	0.444375	3.78531E+17
1263	0.446625	3.78815E+17
1264	0.442875	3.79097E+17
1265	0.44325	3.79379E+17
1266	0.44475	3.79662E+17
1267	0.4395	3.79942E+17
1268	0.436875	3.80221E+17
1269	0.43975	3.80502E+17
1270	0.441875	3.80784E+17
1271	0.442625	3.81067E+17
1272	0.44125	3.81349E+17
1273	0.440625	3.81632E+17
1274	0.43875	3.81913E+17
1275	0.44075	3.82195E+17
1276	0.441875	3.82479E+17
1277	0.441875	3.82763E+17
1278	0.44075	3.83046E+17
1279	0.438	3.83328E+17
1280	0.433875	3.83608E+17
1281	0.418625	3.83877E+17
1282	0.386375	3.84127E+17
1283	0.409375	3.84391E+17
1284	0.425375	3.84666E+17
1285	0.42875	3.84943E+17
1286	0.429125	3.8522E+17
1287	0.4295	3.85499E+17
1288	0.4275	3.85776E+17
1289	0.42675	3.86052E+17
1290	0.4205	3.86325E+17
1291	0.42175	3.86599E+17
1292	0.422875	3.86874E+17
1293	0.422125	3.87149E+17
1294	0.41725	3.8742E+17
1295	0.41875	3.87693E+17
1296	0.4195	3.87967E+17
1297	0.416875	3.88239E+17
1298	0.414	3.88509E+17
1299	0.41625	3.88781E+17
1300	0.415125	3.89053E+17
1301	0.413625	3.89323E+17
1302	0.41025	3.89592E+17
1303	0.408	3.89859E+17
1304	0.40675	3.90126E+17
1305	0.4095	3.90395E+17
1306	0.41	3.90665E+17
1307	0.409875	3.90934E+17
1308	0.409125	3.91203E+17
1309	0.40875	3.91472E+17
1310	0.407125	3.91741E+17
1311	0.40575	3.92008E+17
1312	0.401875	3.92274E+17
1313	0.394	3.92534E+17
1314	0.400125	3.92798E+17
1315	0.393625	3.93059E+17
1316	0.394625	3.9332E+17
1317	0.399375	3.93585E+17
1318	0.3965	3.93848E+17
1319	0.4	3.94113E+17
1320	0.39875	3.94378E+17
1321	0.3955	3.94641E+17
1322	0.395	3.94903E+17
1323	0.395	3.95166E+17
1324	0.394875	3.95429E+17
1325	0.393875	3.95692E+17
1326	0.391875	3.95953E+17
1327	0.389625	3.96214E+17
1328	0.389375	3.96474E+17
1329	0.382	3.96729E+17
1330	0.38475	3.96987E+17
1331	0.3865	3.97245E+17
1332	0.381125	3.97501E+17
1333	0.386	3.9776E+17
1334	0.386875	3.98019E+17
1335	0.385625	3.98278E+17
1336	0.382625	3.98535E+17
1337	0.382625	3.98793E+17
1338	0.380625	3.99049E+17
1339	0.376375	3.99303E+17
1340	0.37525	3.99556E+17
1341	0.38075	3.99812E+17
1342	0.38025	4.00069E+17
1343	0.38	4.00326E+17
1344	0.38	4.00583E+17
1345	0.3795	4.0084E+17
1346	0.37675	4.01095E+17
1347	0.377625	4.01351E+17
1348	0.377	4.01606E+17
1349	0.3755	4.01861E+17
1350	0.37175	4.02114E+17
1351	0.37225	4.02367E+17
1352	0.3745	4.02621E+17
1353	0.374	4.02876E+17
1354	0.3725	4.0313E+17
1355	0.36875	4.03381E+17
1356	0.36825	4.03632E+17
1357	0.365375	4.03882E+17
1358	0.369125	4.04134E+17
1359	0.368625	4.04386E+17
1360	0.366125	4.04637E+17
1361	0.36925	4.04889E+17
1362	0.36825	4.05142E+17
1363	0.3635	4.05391E+17
1364	0.36625	4.05642E+17
1365	0.366125	4.05894E+17
1366	0.3655	4.06145E+17
1367	0.363	4.06395E+17
1368	0.364625	4.06646E+17
1369	0.359875	4.06893E+17
1370	0.359	4.07141E+17
1371	0.3595	4.07389E+17
1372	0.3625	4.07639E+17
1373	0.363	4.0789E+17
1374	0.36225	4.0814E+17
1375	0.357375	4.08387E+17
1376	0.354875	4.08633E+17
1377	0.357375	4.08881E+17
1378	0.3575	4.09128E+17
1379	0.35925	4.09378E+17
1380	0.3575	4.09626E+17
1381	0.35725	4.09874E+17
1382	0.35375	4.1012E+17
1383	0.354125	4.10366E+17
1384	0.35525	4.10614E+17
1385	0.352875	4.1086E+17
1386	0.354125	4.11107E+17
1387	0.35175	4.11352E+17
1388	0.352875	4.11599E+17
1389	0.353	4.11845E+17
1390	0.3485	4.12089E+17
1391	0.351375	4.12335E+17
1392	0.35175	4.12581E+17
1393	0.35	4.12826E+17
1394	0.34825	4.13071E+17
1395	0.348125	4.13315E+17
1396	0.348875	4.1356E+17
1397	0.349125	4.13805E+17
1398	0.34975	4.14051E+17
1399	0.347875	4.14296E+17
1400	0.34025	4.14536E+17
1401	0.339625	4.14775E+17
1402	0.342875	4.15017E+17
1403	0.340625	4.15258E+17
1404	0.34075	4.15498E+17
1405	0.340375	4.15739E+17
1406	0.341625	4.1598E+17
1407	0.341	4.16222E+17
1408	0.34025	4.16463E+17
1409	0.34075	4.16704E+17
1410	0.339875	4.16946E+17
1411	0.337125	4.17185E+17
1412	0.330625	4.1742E+17
1413	0.333	4.17656E+17
1414	0.3365	4.17896E+17
1415	0.33675	4.18136E+17
1416	0.3355	4.18375E+17
1417	0.336875	4.18615E+17
1418	0.337375	4.18855E+17
1419	0.334375	4.19094E+17
1420	0.3335	4.19332E+17
1421	0.33475	4.19572E+17
1422	0.329875	4.19808E+17
1423	0.328875	4.20043E+17
1424	0.32875	4.20279E+17
1425	0.331125	4.20516E+17
1426	0.32475	4.20749E+17
1427	0.326875	4.20984E+17
1428	0.32875	4.2122E+17
1429	0.323875	4.21453E+17
1430	0.323125	4.21685E+17
1431	0.32475	4.21919E+17
1432	0.330125	4.22157E+17
1433	0.33025	4.22395E+17
1434	0.326	4.2263E+17
1435	0.32675	4.22866E+17
1436	0.327125	4.23102E+17
1437	0.327625	4.23339E+17
1438	0.326625	4.23575E+17
1439	0.326625	4.23812E+17
1440	0.3155	4.2404E+17
1441	0.316375	4.2427E+17
1442	0.316375	4.24499E+17
1443	0.317875	4.2473E+17
1444	0.318875	4.24962E+17
1445	0.31925	4.25194E+17
1446	0.320375	4.25427E+17
1447	0.31875	4.25659E+17
1448	0.3205	4.25892E+17
1449	0.319875	4.26126E+17
1450	0.31775	4.26357E+17
1451	0.3145	4.26587E+17
1452	0.314125	4.26817E+17
1453	0.314625	4.27047E+17
1454	0.313125	4.27276E+17
1455	0.311875	4.27504E+17
1456	0.3105	4.27731E+17
1457	0.31225	4.2796E+17
1458	0.315625	4.28192E+17
1459	0.3165	4.28424E+17
1460	0.31425	4.28655E+17
1461	0.31275	4.28885E+17
1462	0.310125	4.29113E+17
1463	0.30825	4.2934E+17
1464	0.3085	4.29567E+17
1465	0.310875	4.29796E+17
1466	0.308375	4.30024E+17
1467	0.311625	4.30254E+17
1468	0.309125	4.30482E+17
1469	0.31125	4.30712E+17
1470	0.3095	4.30941E+17
1471	0.305	4.31166E+17
1472	0.30575	4.31393E+17
1473	0.304875	4.31619E+17
1474	0.298875	4.3184E+17
1475	0.302375	4.32065E+17
1476	0.30375	4.3229E+17
1477	0.303	4.32516E+17
1478	0.3025	4.3274E+17
1479	0.30475	4.32967E+17
1480	0.305375	4.33195E+17
1481	0.302875	4.3342E+17
1482	0.30375	4.33647E+17
1483	0.299375	4.3387E+17
1484	0.302	4.34096E+17
1485	0.305	4.34323E+17
1486	0.30225	4.34549E+17
1487	0.295875	4.34771E+17
1488	0.273625	4.34976E+17
1489	0.295	4.35197E+17
1490	0.300875	4.35422E+17
1491	0.301375	4.35648E+17
1492	0.299	4.35873E+17
1493	0.3015	4.36099E+17
1494	0.301875	4.36326E+17
1495	0.299875	4.36552E+17
1496	0.293	4.36772E+17
1497	0.2965	4.36995E+17
1498	0.29825	4.3722E+17
1499	0.29625	4.37444E+17
1500	0.300125	4.3767E+17
1501	0.29975	4.37896E+17
1502	0.293875	4.38118E+17
1503	0.27425	4.38326E+17
1504	0.27975	4.38538E+17
1505	0.274125	4.38745E+17
1506	0.283625	4.3896E+17
1507	0.29225	4.39182E+17
1508	0.29025	4.39402E+17
1509	0.289	4.39621E+17
1510	0.29325	4.39844E+17
1511	0.29325	4.40067E+17
1512	0.288625	4.40286E+17
1513	0.286875	4.40505E+17
1514	0.285625	4.40722E+17
1515	0.2875	4.40941E+17
1516	0.286875	4.4116E+17
1517	0.285875	4.41378E+17
1518	0.28875	4.41599E+17
1519	0.286	4.41818E+17
1520	0.28675	4.42037E+17
1521	0.28175	4.42252E+17
1522	0.280625	4.42467E+17
1523	0.283625	4.42685E+17
1524	0.284	4.42902E+17
1525	0.279875	4.43117E+17
1526	0.284625	4.43336E+17
1527	0.283625	4.43554E+17
1528	0.2845	4.43772E+17
1529	0.28125	4.43989E+17
1530	0.271	4.44197E+17
1531	0.281	4.44414E+17
1532	0.282625	4.44631E+17
1533	0.27975	4.44847E+17
1534	0.276	4.4506E+17
1535	0.278	4.45275E+17
1536	0.280625	4.45492E+17
1537	0.28	4.45708E+17
1538	0.274625	4.45921E+17
1539	0.27625	4.46135E+17
1540	0.270625	4.46344E+17
1541	0.27275	4.46556E+17
1542	0.27475	4.46769E+17
1543	0.27525	4.46983E+17
1544	0.276875	4.47198E+17
1545	0.27775	4.47414E+17
1546	0.27675	4.47629E+17
1547	0.2735	4.47842E+17
1548	0.268625	4.48051E+17
1549	0.271875	4.48263E+17
1550	0.2705	4.48474E+17
1551	0.27125	4.48685E+17
1552	0.27325	4.48899E+17
1553	0.270625	4.4911E+17
1554	0.266	4.49318E+17
1555	0.26625	4.49526E+17
1556	0.264375	4.49733E+17
1557	0.268875	4.49944E+17
1558	0.26825	4.50154E+17
1559	0.267625	4.50364E+17
1560	0.266	4.50573E+17
1561	0.269125	4.50784E+17
1562	0.268125	4.50995E+17
1563	0.266625	4.51205E+17
1564	0.264	4.51412E+17
1565	0.266	4.51622E+17
1566	0.263625	4.5183E+17
1567	0.263375	4.52037E+17
1568	0.260875	4.52243E+17
1569	0.262375	4.5245E+17
1570	0.262	4.52657E+17
1571	0.26625	4.52867E+17
1572	0.2665	4.53078E+17
1573	0.263375	4.53287E+17
1574	0.26025	4.53493E+17
1575	0.2505	4.53691E+17
1576	0.2555	4.53894E+17
1577	0.242375	4.54086E+17
1578	0.255125	4.54289E+17
1579	0.261625	4.54496E+17
1580	0.263875	4.54706E+17
1581	0.2635	4.54916E+17
1582	0.255875	4.55119E+17
1583	0.257	4.55324E+17
1584	0.2555	4.55528E+17
1585	0.2605	4.55735E+17
1586	0.258125	4.55941E+17
1587	0.25475	4.56145E+17
1588	0.248375	4.56343E+17
1589	0.2355	4.56532E+17
1590	0.240625	4.56724E+17
1591	0.242625	4.56918E+17
1592	0.252125	4.5712E+17
1593	0.257125	4.57326E+17
1594	0.2565	4.57532E+17
1595	0.256125	4.57737E+17
1596	0.247125	4.57936E+17
1597	0.249375	4.58136E+17
1598	0.254375	4.58341E+17
1599	0.251125	4.58543E+17
1600	0.251625	4.58745E+17
1601	0.2465	4.58944E+17
1602	0.2485	4.59144E+17
1603	0.249125	4.59345E+17
1604	0.2495	4.59546E+17
1605	0.247375	4.59746E+17
1606	0.24675	4.59946E+17
1607	0.245875	4.60144E+17
1608	0.24925	4.60346E+17
1609	0.247125	4.60546E+17
1610	0.236	4.60737E+17
1611	0.24	4.60932E+17
1612	0.241625	4.61128E+17
1613	0.245125	4.61327E+17
1614	0.24425	4.61525E+17
1615	0.2425	4.61722E+17
1616	0.234	4.61912E+17
1617	0.2365	4.62105E+17
1618	0.24275	4.62302E+17
1619	0.24125	4.62499E+17
1620	0.235	4.6269E+17
1621	0.234375	4.62881E+17
1622	0.23725	4.63075E+17
1623	0.241375	4.63272E+17
1624	0.241375	4.63469E+17
1625	0.238	4.63664E+17
1626	0.239625	4.6386E+17
1627	0.240125	4.64056E+17
1628	0.240875	4.64254E+17
1629	0.2405	4.64451E+17
1630	0.23775	4.64646E+17
1631	0.23875	4.64842E+17
1632	0.238625	4.65038E+17
1633	0.236	4.65231E+17
1634	0.233875	4.65424E+17
1635	0.2365	4.65618E+17
1636	0.23575	4.65812E+17
1637	0.22825	4.66E+17
1638	0.226375	4.66187E+17
1639	0.223125	4.66371E+17
1640	0.22525	4.66557E+17
1641	0.22425	4.66742E+17
1642	0.224625	4.66927E+17
1643	0.228	4.67116E+17
1644	0.22625	4.67303E+17
1645	0.225625	4.6749E+17
1646	0.2285	4.67679E+17
1647	0.229	4.67869E+17
1648	0.228375	4.68058E+17
1649	0.225125	4.68245E+17
1650	0.227	4.68433E+17
1651	0.225	4.6862E+17
1652	0.227125	4.68809E+17
1653	0.225625	4.68997E+17
1654	0.226375	4.69185E+17
1655	0.224625	4.69372E+17
1656	0.22575	4.6956E+17
1657	0.225875	4.69748E+17
1658	0.22475	4.69936E+17
1659	0.222625	4.70122E+17
1660	0.223875	4.70309E+17
1661	0.22475	4.70496E+17
1662	0.224	4.70684E+17
1663	0.223125	4.7087E+17
1664	0.22275	4.71057E+17
1665	0.221	4.71242E+17
1666	0.219375	4.71426E+17
1667	0.219375	4.7161E+17
1668	0.21675	4.71792E+17
1669	0.21825	4.71975E+17
1670	0.221375	4.72161E+17
1671	0.22	4.72346E+17
1672	0.213625	4.72526E+17
1673	0.215875	4.72707E+17
1674	0.21825	4.72891E+17
1675	0.216	4.73073E+17
1676	0.213625	4.73253E+17
1677	0.214875	4.73435E+17
1678	0.2155	4.73616E+17
1679	0.2125	4.73796E+17
1680	0.205875	4.7397E+17
1681	0.199625	4.74139E+17
1682	0.203125	4.74311E+17
1683	0.208625	4.74487E+17
1684	0.21175	4.74667E+17
1685	0.2125	4.74847E+17
1686	0.2105	4.75025E+17
1687	0.210875	4.75204E+17
1688	0.210625	4.75383E+17
1689	0.208375	4.7556E+17
1690	0.2085	4.75738E+17
1691	0.2115	4.75918E+17
1692	0.211875	4.76098E+17
1693	0.211125	4.76278E+17
1694	0.211	4.76458E+17
1695	0.210875	4.76637E+17
1696	0.21	4.76817E+17
1697	0.209125	4.76995E+17
1698	0.208875	4.77174E+17
1699	0.20775	4.77351E+17
1700	0.205375	4.77527E+17
1701	0.205	4.77702E+17
1702	0.204958333	4.77878E+17
1703	0.204666667	4.78053E+17
1704	0.204333333	4.78228E+17
1705	0.203916667	4.78403E+17
1706	0.203	4.78577E+17
1707	0.202	4.78751E+17
1708	0.201	4.78924E+17
1709	0.2	4.79096E+17
1710	0.1992	4.79267E+17
1711	0.1996	4.79439E+17
1712	0.2002	4.79611E+17
1713	0.2008	4.79784E+17
1714	0.2014	4.79958E+17
1715	0.201825	4.80132E+17
1716	0.2012	4.80306E+17
1717	0.2004	4.80479E+17
1718	0.1996	4.80651E+17
1719	0.1988	4.80823E+17
1720	0.198075	4.80995E+17
1721	0.1978	4.81166E+17
1722	0.1976	4.81337E+17
1723	0.1974	4.81508E+17
1724	0.1972	4.81679E+17
1725	0.196925	4.8185E+17
1726	0.1962	4.82021E+17
1727	0.1954	4.8219E+17
1728	0.1946	4.82359E+17
1729	0.1938	4.82528E+17
1730	0.192825	4.82696E+17
1731	0.1908	4.82862E+17
1732	0.1886	4.83026E+17
1733	0.1864	4.83189E+17
1734	0.1842	4.8335E+17
1735	0.182475	4.83509E+17
1736	0.1836	4.83669E+17
1737	0.1852	4.83831E+17
1738	0.1868	4.83994E+17
1739	0.1884	4.84159E+17
1740	0.1897	4.84325E+17
1741	0.1892	4.84491E+17
1742	0.1884	4.84656E+17
1743	0.1876	4.84821E+17
1744	0.1868	4.84985E+17
1745	0.186075	4.85148E+17
1746	0.1858	4.85311E+17
1747	0.1856	4.85474E+17
1748	0.1854	4.85637E+17
1749	0.1852	4.858E+17
1750	0.185025	4.85963E+17
1751	0.185	4.86126E+17
1752	0.185	4.86289E+17
1753	0.185	4.86452E+17
1754	0.185	4.86616E+17
1755	0.184925	4.86779E+17
1756	0.1844	4.86942E+17
1757	0.1838	4.87104E+17
1758	0.1832	4.87266E+17
1759	0.1826	4.87428E+17
1760	0.18205	4.87589E+17
1761	0.1818	4.8775E+17
1762	0.1816	4.87911E+17
1763	0.1814	4.88072E+17
1764	0.1812	4.88233E+17
1765	0.181	4.88394E+17
1766	0.1808	4.88554E+17
1767	0.1806	4.88715E+17
1768	0.1804	4.88875E+17
1769	0.1802	4.89036E+17
1770	0.179925	4.89196E+17
1771	0.1792	4.89355E+17
1772	0.1784	4.89515E+17
1773	0.1776	4.89673E+17
1774	0.1768	4.89831E+17
1775	0.1761	4.89988E+17
1776	0.176	4.90145E+17
1777	0.176	4.90303E+17
1778	0.176	4.9046E+17
1779	0.176	4.90618E+17
1780	0.17595	4.90775E+17
1781	0.1756	4.90932E+17
1782	0.1752	4.9109E+17
1783	0.1748	4.91246E+17
1784	0.1744	4.91403E+17
1785	0.17405	4.91559E+17
1786	0.174	4.91715E+17
1787	0.174	4.91872E+17
1788	0.174	4.92028E+17
1789	0.174	4.92185E+17
1790	0.173925	4.92342E+17
1791	0.1734	4.92498E+17
1792	0.1728	4.92654E+17
1793	0.1722	4.92809E+17
1794	0.1716	4.92964E+17
1795	0.171	4.93118E+17
1796	0.1704	4.93272E+17
1797	0.1698	4.93426E+17
1798	0.1692	4.93579E+17
1799	0.1686	4.93731E+17
1800	0.1681	4.93884E+17
1801	0.1682	4.94036E+17
1802	0.1684	4.94189E+17
1803	0.1686	4.94342E+17
1804	0.1688	4.94495E+17
1805	0.168975	4.94648E+17
1806	0.169	4.94802E+17
1807	0.169	4.94956E+17
1808	0.169	4.95109E+17
1809	0.169	4.95263E+17
1810	0.16865	4.95417E+17
1811	0.1662	4.95568E+17
1812	0.1634	4.95717E+17
1813	0.1606	4.95864E+17
1814	0.1578	4.96008E+17
1815	0.155475	4.9615E+17
1816	0.156	4.96292E+17
1817	0.157	4.96436E+17
1818	0.158	4.9658E+17
1819	0.159	4.96726E+17
1820	0.15995	4.96872E+17
1821	0.1606	4.97019E+17
1822	0.1612	4.97167E+17
1823	0.1618	4.97315E+17
1824	0.1624	4.97464E+17
1825	0.162825	4.97614E+17
1826	0.1622	4.97763E+17
1827	0.1614	4.97911E+17
1828	0.1606	4.98059E+17
1829	0.1598	4.98206E+17
1830	0.159075	4.98352E+17
1831	0.1588	4.98499E+17
1832	0.1586	4.98645E+17
1833	0.1584	4.98791E+17
1834	0.1582	4.98937E+17
1835	0.157975	4.99083E+17
1836	0.1576	4.99228E+17
1837	0.1572	4.99374E+17
1838	0.1568	4.99519E+17
1839	0.1564	4.99663E+17
1840	0.155975	4.99808E+17
1841	0.1554	4.99952E+17
1842	0.1548	5.00095E+17
1843	0.1542	5.00238E+17
1844	0.1536	5.00381E+17
1845	0.153075	5.00523E+17
1846	0.153	5.00665E+17
1847	0.153	5.00807E+17
1848	0.153	5.00949E+17
1849	0.153	5.01091E+17
1850	0.15295	5.01234E+17
1851	0.1526	5.01376E+17
1852	0.1522	5.01518E+17
1853	0.1518	5.01659E+17
1854	0.1514	5.01801E+17
1855	0.151	5.01941E+17
1856	0.1506	5.02082E+17
1857	0.1502	5.02222E+17
1858	0.1498	5.02362E+17
1859	0.1494	5.02502E+17
1860	0.149	5.02642E+17
1861	0.1486	5.02781E+17
1862	0.1482	5.0292E+17
1863	0.1478	5.03058E+17
1864	0.1474	5.03196E+17
1865	0.147025	5.03334E+17
1866	0.1468	5.03472E+17
1867	0.1466	5.0361E+17
1868	0.1464	5.03747E+17
1869	0.1462	5.03885E+17
1870	0.145675	5.04022E+17
1871	0.1432	5.04157E+17
1872	0.1404	5.04289E+17
1873	0.1376	5.04419E+17
1874	0.1348	5.04546E+17
1875	0.132725	5.04671E+17
1876	0.135	5.04798E+17
1877	0.138	5.04929E+17
1878	0.141	5.05062E+17
1879	0.144	5.05198E+17
1880	0.1466	5.05337E+17
1881	0.1468	5.05475E+17
1882	0.1466	5.05614E+17
1883	0.1464	5.05753E+17
1884	0.1462	5.05892E+17
1885	0.145875	5.0603E+17
1886	0.1448	5.06167E+17
1887	0.1436	5.06304E+17
1888	0.1424	5.06439E+17
1889	0.1412	5.06573E+17
1890	0.1401	5.06706E+17
1891	0.1396	5.06839E+17
1892	0.1392	5.06972E+17
1893	0.1388	5.07104E+17
1894	0.1384	5.07236E+17
1895	0.1381	5.07367E+17
1896	0.1384	5.07499E+17
1897	0.1388	5.07632E+17
1898	0.1392	5.07765E+17
1899	0.1396	5.07898E+17
1900	0.139925	5.08032E+17
1901	0.1398	5.08166E+17
1902	0.1396	5.08299E+17
1903	0.1394	5.08433E+17
1904	0.1392	5.08566E+17
1905	0.138975	5.08699E+17
1906	0.1386	5.08832E+17
1907	0.1382	5.08965E+17
1908	0.1378	5.09097E+17
1909	0.1374	5.09229E+17
1910	0.137025	5.09361E+17
1911	0.1368	5.09492E+17
1912	0.1366	5.09623E+17
1913	0.1364	5.09755E+17
1914	0.1362	5.09886E+17
1915	0.136	5.10017E+17
1916	0.1358	5.10148E+17
1917	0.1356	5.10279E+17
1918	0.1354	5.10409E+17
1919	0.1352	5.1054E+17
1920	0.135	5.1067E+17
1921	0.1348	5.108E+17
1922	0.1346	5.10931E+17
1923	0.1344	5.11061E+17
1924	0.1342	5.11191E+17
1925	0.13395	5.1132E+17
1926	0.1334	5.1145E+17
1927	0.1328	5.11578E+17
1928	0.1322	5.11707E+17
1929	0.1316	5.11834E+17
1930	0.1311	5.11962E+17
1931	0.1312	5.12089E+17
1932	0.1314	5.12217E+17
1933	0.1316	5.12345E+17
1934	0.1318	5.12473E+17
1935	0.131925	5.12601E+17
1936	0.1316	5.1273E+17
1937	0.1312	5.12857E+17
1938	0.1308	5.12985E+17
1939	0.1304	5.13112E+17
1940	0.1298	5.13239E+17
1941	0.128	5.13364E+17
1942	0.126	5.13487E+17
1943	0.124	5.13608E+17
1944	0.122	5.13727E+17
1945	0.1204	5.13845E+17
1946	0.1212	5.13964E+17
1947	0.1224	5.14084E+17
1948	0.1236	5.14205E+17
1949	0.1248	5.14327E+17
1950	0.1259	5.14451E+17
1951	0.1264	5.14575E+17
1952	0.1268	5.14699E+17
1953	0.1272	5.14824E+17
1954	0.1276	5.1495E+17
1955	0.1279	5.15076E+17
1956	0.1276	5.15201E+17
1957	0.1272	5.15326E+17
1958	0.1268	5.15451E+17
1959	0.1264	5.15576E+17
1960	0.125975	5.157E+17
1961	0.1254	5.15824E+17
1962	0.1248	5.15947E+17
1963	0.1242	5.1607E+17
1964	0.1236	5.16192E+17
1965	0.1231	5.16314E+17
1966	0.1232	5.16435E+17
1967	0.1234	5.16557E+17
1968	0.1236	5.1668E+17
1969	0.1238	5.16803E+17
1970	0.123925	5.16925E+17
1971	0.1236	5.17048E+17
1972	0.1232	5.1717E+17
1973	0.1228	5.17292E+17
1974	0.1224	5.17414E+17
1975	0.122	5.17535E+17
1976	0.1216	5.17656E+17
1977	0.1212	5.17776E+17
1978	0.1208	5.17896E+17
1979	0.1204	5.18016E+17
1980	0.120025	5.18136E+17
1981	0.1198	5.18255E+17
1982	0.1196	5.18375E+17
1983	0.1194	5.18494E+17
1984	0.1192	5.18613E+17
1985	0.11905	5.18732E+17
1986	0.1192	5.18851E+17
1987	0.1194	5.1897E+17
1988	0.1196	5.1909E+17
1989	0.1198	5.19209E+17
1990	0.1199	5.1933E+17
1991	0.1194	5.19449E+17
1992	0.1188	5.19568E+17
1993	0.1182	5.19687E+17
1994	0.1176	5.19805E+17
1995	0.117075	5.19922E+17
1996	0.117	5.2004E+17
1997	0.117	5.20157E+17
1998	0.117	5.20275E+17
1999	0.117	5.20392E+17
2000	0.11695	5.2051E+17
2001	0.1166	5.20628E+17
2002	0.1162	5.20745E+17
2003	0.1158	5.20861E+17
2004	0.1154	5.20978E+17
2005	0.11505	5.21094E+17
2006	0.115	5.2121E+17
2007	0.115	5.21326E+17
2008	0.115	5.21442E+17
2009	0.115	5.21558E+17
2010	0.114975	5.21675E+17
2011	0.1148	5.21791E+17
2012	0.1146	5.21907E+17
2013	0.1144	5.22023E+17
2014	0.1142	5.22138E+17
2015	0.113975	5.22254E+17
2016	0.1136	5.22369E+17
2017	0.1132	5.22484E+17
2018	0.1128	5.22598E+17
2019	0.1124	5.22713E+17
2020	0.11205	5.22826E+17
2021	0.112	5.2294E+17
2022	0.112	5.23054E+17
2023	0.112	5.23168E+17
2024	0.112	5.23282E+17
2025	0.11195	5.23396E+17
2026	0.1116	5.2351E+17
2027	0.1112	5.23624E+17
2028	0.1108	5.23737E+17
2029	0.1104	5.23849E+17
2030	0.110025	5.23962E+17
2031	0.1098	5.24074E+17
2032	0.1096	5.24186E+17
2033	0.1094	5.24298E+17
2034	0.1092	5.24409E+17
2035	0.108975	5.24521E+17
2036	0.1086	5.24632E+17
2037	0.1082	5.24743E+17
2038	0.1078	5.24854E+17
2039	0.1074	5.24964E+17
2040	0.107075	5.25074E+17
2041	0.1072	5.25184E+17
2042	0.1074	5.25294E+17
2043	0.1076	5.25405E+17
2044	0.1078	5.25516E+17
2045	0.107925	5.25627E+17
2046	0.1076	5.25737E+17
2047	0.1072	5.25848E+17
2048	0.1068	5.25958E+17
2049	0.1064	5.26068E+17
2050	0.106025	5.26177E+17
2051	0.1058	5.26286E+17
2052	0.1056	5.26395E+17
2053	0.1054	5.26504E+17
2054	0.1052	5.26613E+17
2055	0.104975	5.26721E+17
2056	0.1046	5.26829E+17
2057	0.1042	5.26937E+17
2058	0.1038	5.27045E+17
2059	0.1034	5.27152E+17
2060	0.103025	5.27259E+17
2061	0.1028	5.27365E+17
2062	0.1026	5.27472E+17
2063	0.1024	5.27578E+17
2064	0.1022	5.27684E+17
2065	0.102	5.2779E+17
2066	0.1018	5.27896E+17
2067	0.1016	5.28001E+17
2068	0.1014	5.28107E+17
2069	0.1012	5.28212E+17
2070	0.101025	5.28318E+17
2071	0.101	5.28423E+17
2072	0.101	5.28528E+17
2073	0.101	5.28633E+17
2074	0.101	5.28739E+17
