Wvlgth Direct_normal_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar Zonal_ground_reflectance
3.0750e+02 1.8370e-01 9.1018e-01 6.2225e-01 1.8370e-01 8.8070e-03 3.1050e-02
3.0800e+02 1.9170e-01 8.5734e-01 6.4050e-01 1.9170e-01 9.2620e-03 3.1120e-02
3.0850e+02 2.0180e-01 1.0116e+00 6.0787e-01 2.0180e-01 9.8120e-03 3.1140e-02
3.0900e+02 1.9120e-01 1.0133e+00 5.7525e-01 1.9120e-01 1.0160e-02 3.1210e-02
3.0950e+02 1.8810e-01 1.1925e+00 5.6488e-01 1.8810e-01 9.8080e-03 3.1220e-02
3.1000e+02 2.1240e-01 1.2617e+00 5.5450e-01 2.1240e-01 1.1030e-02 3.1240e-02
3.1050e+02 2.6720e-01 7.8521e-01 6.4225e-01 2.6720e-01 1.3900e-02 3.1280e-02
3.1100e+02 3.2690e-01 1.1940e+00 7.3000e-01 3.2690e-01 1.6980e-02 3.1320e-02
3.1150e+02 3.2560e-01 8.3720e-01 7.1900e-01 3.2560e-01 1.6980e-02 3.1370e-02
3.1200e+02 3.3920e-01 1.6034e+00 7.0800e-01 3.3920e-01 1.7520e-02 3.1410e-02
3.1250e+02 3.4430e-01 1.7408e+00 7.0250e-01 3.4430e-01 1.7720e-02 3.1470e-02
3.1300e+02 3.6420e-01 1.7641e+00 6.9700e-01 3.6420e-01 1.8770e-02 3.1540e-02
3.1350e+02 3.6970e-01 1.7337e+00 7.0275e-01 3.6970e-01 1.9260e-02 3.1610e-02
3.1400e+02 3.9150e-01 1.6598e+00 7.0850e-01 3.9150e-01 2.0300e-02 3.1670e-02
3.1450e+02 4.0140e-01 1.7209e+00 6.8900e-01 4.0140e-01 2.0650e-02 3.1710e-02
3.1500e+02 4.1240e-01 1.6116e+00 6.6950e-01 4.1240e-01 2.1300e-02 3.1760e-02
