Band gap energy (eV),Reported band gap energy (eV),J_o (A/m^2)
1.664441567386878,1.64,5.4473273242990465e-21
1.6918209278177163,1.68,1.2994751203064974e-21
1.5968530059677342,1.63,4.027766402983363e-20
1.6853735755120525,1.68,1.9735068925401564e-21
1.6162692898268145,1.77,2.386111205001854e-20
