Ref_DOI_number,Perovskite_composition_short_form,Perovskite_composition_long_form,EQE_integrated_Jsc,JV_default_Voc,JV_default_Jsc,Perovskite_band_gap
10.1002/adfm.201808119,MAPbI | (PPEA)PbI,MAPbI3 | (PPEA)PbI4,23.0,1.138,22.69,
10.1016/j.jechem.2019.10.006,MAPbI | (BEA)PbI,MAPbI3 | (BEA)PbI4,23.0,1.15,23.32,1.59
10.1016/j.jechem.2019.10.006,MAPbI | (BEA)PbI,MAPbI3 | (BEA)PbI4,23.0,1.15,23.32,1.59
10.1016/j.electacta.2018.11.066,MAPbI,MAPbI3,23.0,1.09,23.8,1.6
10.1016/j.nanoen.2019.103866,MAPbI,MAPbI3,23.0,1.08,23.81,1.6
10.1002/anie.201915422,MAPbI,MAPbI3,23.0,1.12,23.98,1.6
10.1002/solr.201800269,MAPbI,MAPbI3,23.0,1.04,23.08,1.6
10.1016/j.optmat.2019.05.015,MAPbI,MAPbI3,23.0,0.95,25.38,1.6
10.1002/cssc.201800758,MAPbI,MAPbI3,23.0,1.08,23.64,1.6
10.1002/solr.201800050,MAPbI,MAPbI3,23.0,1.01,23.2,1.6
10.1038/s41467-019-12613-8,MAPbI,MAPbI3,22.96,1.105,23.46,1.6
10.1016/j.cej.2017.08.045,MAPbI,MAPbI3,22.95,1.03,23.91,1.6
10.1002/adfm.201800475,MAPbI,MAPbI3,22.95,1.08,23.0,1.6
10.1039/c9ta08791e,MAPbI,MAPbI3,22.944000000000003,1.1,23.185,1.6
10.1021/acsami.9b14023,MAPbI,MAPbI3,22.93,1.01,22.94,1.594
10.1063/1.5048424,MAPbI,MAPbI3,22.92,1.019,21.14,1.5
10.1039/c8ta07043a,MAPbI,MAPbI3,22.91,1.03,24.05,1.6
10.1021/acsaem.8b01221,MAPbI,MAPbI3,22.91,1.05,22.53,1.6
10.1002/aenm.202003460,MAPbI,MAPbI3,22.91,1.119,23.686,1.58
10.1002/adfm.201900417,MAPbI,MAPbI3,22.91,1.1,22.95,1.6
10.1002/aenm.202003460,MAPbI,MAPbI3,22.91,1.085,19.778,1.58
10.1002/admi.201701256,MAPbI,MAPbI3,22.9,1.14,23.4,1.6
10.1007/s10853-019-04145-9,MAPbI,MAPbI3,22.9,1.101,23.13,1.6
10.1021/acsami.7b16312,MAPbI,MAPbI3,22.9,1.02,22.89,1.58
10.1021/acsami.7b16312,MAPbI,MAPbI3,22.9,1.03,23.29,1.6
10.1016/j.nanoen.2018.11.004,MAPbI,MAPbI3,22.9,0.84,22.05,1.6
10.1039/c6ta10418e,MAPbI,MAPbI3,22.9,1.07,23.66,1.6
10.1002/aenm.201803766,MAPbI,MAPbI3,22.88,1.146,22.69,1.6
10.1039/c8ta07836j,MAPbI,MAPbI3,22.88,1.058,23.09,1.57
10.1039/c8ta07836j,MAPbI,MAPbI3,22.88,1.058,23.09,1.57
10.1021/acsami.0c05527,MAPbI,MAPbI3,22.87,1.14,23.21,
10.1021/acsami.0c05527,MAPbI,MAPbI3,22.87,1.14,23.21,
10.1021/acsami.0c05527,MAPbI,MAPbI3,22.87,1.14,23.21,
10.1002/adfm.201900265,MAPbI,MAPbI3,22.86,1.0,23.03,1.5
10.1002/aenm.201803766,MAPbI,MAPbI3,22.83,1.094,22.63,1.6
10.1002/adfm.202001788,MAPbI,MAPbI3,22.81,1.11,23.51,
10.1021/acsenergylett.0c01297,MAPbI,MAPbI3,22.81,1.057,23.56,
10.1002/adma.201902543,MAPbI,MAPbI3,22.8,1.186,23.25,1.6
10.1016/j.apsusc.2019.04.069,MAPbI,MAPbI3,22.8,1.03,22.95,1.6
10.1002/adma.201903691,MAPbI,MAPbI3,22.8,1.12,23.82,1.6
10.1002/adma.201902543,MAPbI,MAPbI3,22.8,1.186,23.25,1.6
10.1039/c9ta02566a,MAPbI,MAPbI3,22.8,1.08,23.4,1.6
10.1039/c7ta03710d,MAPbI,MAPbI3,22.8,1.05,23.23,1.6
10.1039/c7ta03710d,MAPbI,MAPbI3,22.8,1.05,22.8,1.6
10.1039/c7ta03710d,MAPbI,MAPbI3,22.8,1.06,21.5,1.6
10.1016/j.nanoen.2019.103866,MAPbI,MAPbI3,22.8,1.06,23.62,1.6
10.1039/c7ta03710d,MAPbI,MAPbI3,22.8,1.06,19.5,1.6
10.1039/c7ta03710d,MAPbI,MAPbI3,22.8,1.02,22.9,1.6
10.1002/aenm.201502472,MAPbI,MAPbI3,22.8,0.95,22.92,1.55
10.1039/c7ta03710d,MAPbI,MAPbI3,22.8,1.05,23.0,1.6
