,AM,mean of diffs
0,AM0 - AM1.25,3.2+/-0.7
1,AM1.25 - AM1.5,1.43+/-0.21
2,AM1.5 - AM2.0,1.50+/-0.19
3,AM1.75 - AM2.5,1.36+/-0.16
