Ref_DOI_number,Perovskite_composition_short_form,Perovskite_composition_long_form,EQE_integrated_Jsc,JV_default_Voc,JV_default_Jsc,Perovskite_band_gap
10.1039/c4ta04988h,FAPbI,FAPbI3,19.0,0.902,19.64,1.48
10.1039/c8ta01617h,FAPbI,FAPbI3,18.54,0.99,20.61,1.48
10.1021/acs.accounts.5b00440,FAPbI,FAPbI3,18.5,0.768,19.1,1.48
10.1039/c5nr06189j,FAPbI,FAPbI3,18.33,0.96,18.8,1.48
10.1016/j.ijleo.2018.09.066,FAPbI,FAPbI3,18.0,0.77,18.55,1.58
10.1002/solr.201900183,FAPbI,FAPbI3,17.89,1.04,19.52,1.48
10.1039/c5nr06189j,FAPbI,FAPbI3,17.57,0.88,18.2,1.48
10.1039/c4ta03741c,FAPbI,FAPbI3,17.3,0.901,18.4,1.47
10.1039/c5nr06189j,FAPbI,FAPbI3,17.26,0.9,18.1,1.48
10.1016/j.ijleo.2018.09.066,FAPbI,FAPbI3,17.22,0.75,17.94,1.58
10.1039/c4ta04988h,FAPbI,FAPbI3,17.09,0.918,18.96,1.48
10.1039/c8ta06557h,FAPbI,FAPbI3,16.83,0.997,17.35,1.48
10.1016/j.ijleo.2018.09.066,FAPbI,FAPbI3,16.49,0.71,17.11,1.58
10.1021/acs.accounts.5b00440,FAPbI,FAPbI3,16.4,0.8959999999999999,20.4,1.52
10.1021/acs.langmuir.9b02524,FAPbI,FAPbI3,16.26,0.76,16.7,1.48
10.1021/acs.jpclett.5b02810,FAPbI,FAPbI3,15.66,0.96,15.66,1.48
10.1038/ncomms14075,FAPbI,FAPbI3,14.87,1.039,18.89,1.48
10.1002/anie.201912051,FAPbI,FAPbI3,13.87,0.74,18.59,1.48
10.1021/acs.jpclett.5b02810,FAPbI,FAPbI3,13.63,0.93,13.63,1.48
10.1021/acs.jpclett.5b02810,FAPbI,FAPbI3,11.62,0.87,11.62,1.48
10.1039/C6TA04267H,FAPbI,FAPbI3,10.4,1.02,19.5,1.48
10.1039/C6TA04267H,FAPbI,FAPbI3,9.5,0.98,16.9,1.48
10.1016/j.solener.2020.05.041,FAPbI,FAPbI3,9.1,0.6,16.6,1.5
10.1039/C6TA04267H,FAPbI,FAPbI3,9.0,0.94,17.8,1.48
10.1039/C6TA04267H,FAPbI,FAPbI3,7.8,0.97,17.1,1.48
10.1039/C6TA04267H,FAPbI,FAPbI3,7.8,0.93,20.3,1.48
10.1039/C6TA04267H,FAPbI,FAPbI3,5.8,0.77,15.2,1.48
